endpoint,summary,description letter count,current description,new description,new description size,questions,,,
GET /v1/connections/{connectionId}/schemas,Retrieve a Connection Schema Config,1422,"Returns the top-level schema configuration for an existing connection within your Fivetran account.  The response includes global flags, every schema, each table, and only the columns that were explicitly overridden. 

Use this endpoint to read the current data-selection tree for a connection, to back up the schema before making edits, or to copy the configuration to another connection.

> NOTE: To restore a backed-up schema or copy the configuration to another connection, use the [Update a Connection Schema Config](/docs/rest-api/api-reference/connection-schema/modify-connection-schema-config) endpoint.

For more information, see the [Connection Schema config](https://fivetran.com/docs/rest-api/tutorials/connection-schema-configuration-use-cases) tutorial.

> NOTE: Unedited columns (those following table defaults) are omitted from the response. For a real-time, exhaustive column list for a specific table, call the [Retrieve Source Table Columns Config](/docs/rest-api/api-reference/connection-schema/connection-column-config) endpoint. 

For the NetSuite SuiteAnalytics, and Salesforce and Salesforce Sandbox connectors, the 'schemas' map field contains a single entry with the 'netsuite' or 'salesforce' key, respectively. For the 'schema.name_in_destination` name field, these connectors always return the destination schema name you set in the connection setup form.

For more information on using this API endpoint with the the Oracle Fusion Cloud Applications connectors, see the [Schema information documentation](https://fivetran.com/docs/connectors/applications/oracle-fusion-cloud-applications#schemainformation).

> IMPORTANT: This endpoint does not apply to [Magic Folder](/docs/connectors/files#magicfolder) connectors.","Returns the top-level schema configuration for an existing connection within your Fivetran account.  The response includes global flags, every schema, each table, and only the columns that were explicitly overridden.   For an exhaustive column list, use the Retrieve a Source Table Column Config endpoint.",,why is netsuite and salesforce treated differently?,,,62.5
PATCH /v1/connections/{connectionId}/schemas/{schemaName},Update a Connection Database Schema Config,703,"Updates the database schema config for an existing connection within your Fivetran account (for a single schema within a connection with multiple schemas). 

> NOTE: The response contains all known schemas and tables. Also, it contains columns whose state has ever been set by the user. For more information, see also the [Connection Schema config](https://fivetran.com/docs/rest-api/tutorials/connection-schema-configuration-use-cases) tutorial. 

In this API call, the NetSuite SuiteAnalytics, Salesforce and Salesforce Sandbox connectors always return the schema name as 'netsuite' and 'salesforce', respectively. 

For more information about this API call for the Oracle Fusion Cloud Applications connectors, see our [Schema information](https://fivetran.com/docs/connectors/applications/oracle-fusion-cloud-applications#schemainformation) documentation.",Updates the database schema config for an existing connection within your Fivetran account (for a single schema within a connection with multiple schemas). ,,why is netsuite and salesforce treated differently?,,,
POST /v1/destinations,Create a Destination,669,"Creates a new destination within a specified group in your Fivetran account.

> IMPORTANT: Groups and destinations are mapped 1:1 to each other. We do this mapping using the group's `id` value that we automatically generate when you create a group, and the destination's `group_id` value that you specify when you create a destination. This means that you must create a group in your Fivetran account before you can create a destination in it.

> IMPORTANT: If you want to get the certificate details, do not set `trust_certificates` to `true` when you create a destination with our REST API. We can only provide the certificate details through the failed Validate Certificate setup test. For a full walkthrough, see [Get Destination Certificate Details](https://fivetran.com/docs/rest-api/tutorials/get-destination-certificate-details).","Creates a new destination within a specified group in your Fivetran account.

IMPORTANT: Groups and destinations are mapped 1:1 to each other.  You must create a group in your Fivetran account before you can create a destination in it.",,,,,
PATCH /v1/connections/{connectionId}/state,Update a Connection State,666,"Updates the connection state. To update the state, you should pause your connection first.

To update the connection state, do the following:

  1. Pause connection using [Update a Connection](https://fivetran.com/docs/rest-api/api-reference/connections/modify-connection) endpoint (set 'paused' to 'true').
  2. Update the state by using the [Update Connection State](https://fivetran.com/docs/rest-api/api-reference/connections/modify-connection-state) endpoint.
  3. Unpause the connection by setting the 'paused' parameter to 'false' in the [Update a Connection](https://fivetran.com/docs/rest-api/api-reference/connections/modify-connection) endpoint request.

This endpoint is only supported for [Function](https://fivetran.com/docs/connectors/functions) and [Connection SDK](https://fivetran.com/docs/connectors/connector-sdk) connectors.","Updates the connection state. To update the state, you should pause your connection first.",,,,,
POST /v1/connections,Create a Connection,572,"Creates a new connection within a specified group in your Fivetran account. Runs setup tests and returns testing results. <br />
>
> IMPORTANT: If you want to get the fingerprint details, do not set `trust_fingerprints` to `true` when you create a connection with our REST API. We can only provide the fingerprint details through the failed SSH Tunnel Connection setup test. For a full walkthrough, see [Get Connection Fingerprint Details](https://fivetran.com/docs/rest-api/tutorials/get-connection-fingerprint-details).",Creates a new connection within a specified group in your Fivetran account. Runs setup tests and returns testing results. ,,Why not just provide the fingerprint details regardless?,,,
PATCH /v1/connections/{connectionId}/schemas,Update a Connection Schema Config,551,"

> NOTE: For backward compatibility, the response may contain the 'enable_new_by_default' boolean field. It defines whether new schemas and tables discovered in the source are synced. The value is 'true' if you specify 'ALLOW_ALL' as a value of 'schema_change_handling'. In the future API versions, we may remove this field.
>
> The response contains all known schemas and tables. Also, it contains columns whose state has ever been set by the user. For more information, see also the [Connection Schema config](https://fivetran.com/docs/rest-api/tutorials/connection-schema-configuration-use-cases) tutorial.","Updates the schema config for an existing connection within your Fivetran account.  The response contains all known schemas, tables, and columns whose state has ever been set by the user. ",,,,,
PATCH /v1/connections/{connectionId},Update a Connection,534,"Updates connection parameters for an existing connection within your Fivetran account.

This endpoint requires at least one persistent configuration parameter to be specified (e.g., `sync_frequency`, `paused`, `config`, `auth`, `daily_sync_time`, `schema_status`).

> IMPORTANT: Parameters like `trust_certificates`, `trust_fingerprints`, and `run_setup_tests` are test-control parameters that affect only the behavior of setup tests during the update and do not persist in the connection configuration; they cannot be used on their own. If you want to run setup tests without making configuration changes, use the POST `/v1/connections/{connectionId}/test` endpoint instead.","Updates connection parameters for an existing connection within your Fivetran account.  
This endpoint requires at least one persistent configuration parameter to be specified (e.g., `sync_frequency`, `paused`, `config`, `auth`, `daily_sync_time`, `schema_status`).",,,,,
POST /v1/connections/{connectionId}/schemas/reload,Reload a Connection Schema Config,492,"Reloads the connection schema config for an existing connection within your Fivetran account.

> NOTE: This method reloads the full schema from the connection's data source. It may take a long time to complete the request. The method execution speed depends on the schema size and the number of databases, tables, and columns.
>
> The response contains all known schemas and tables. Also, it contains columns whose state has ever been set by the user. For more information, see also the [Connection Schema config](https://fivetran.com/docs/rest-api/tutorials/connection-schema-configuration-use-cases) tutorial.",Reloads the connection schema config for an existing connection within your Fivetran account.   It may take a long time to complete the request based on the schema size.,,,,,
PATCH /v1/connections/{connectionId}/schemas/{schemaName}/tables/{tableName}/columns/{columnName},Update a Connection Column Config,474,"Updates the column config within your table for an existing connection within your Fivetran account.

For the NetSuite SuiteAnalytics and Salesforce and Salesforce Sandbox connectors, the 'schemas' map field will always have a single entry with the 'netsuite' or 'salesforce' key, respectively.
> NOTE: The response contains all known schemas and tables. Also, it contains columns whose state has ever been set by the user. For more information, see also the [Connection Schema config](https://fivetran.com/docs/rest-api/tutorials/connection-schema-configuration-use-cases) tutorial.",Updates the column config within your table for an existing connection within your Fivetran account.,,,,,
POST /v1/connector-sdk/packages,Create Connector SDK Package,461,"Uploads a new Connector SDK package to your Fivetran account. The package must be a ZIP file containing your custom connector code. You can create the package ZIP file using the [`fivetran package` command](/docs/connector-sdk/connector-development-and-configuration/connector-sdk-commands#fivetranpackage).

After creating a package, use the standard [Create a Connection endpoint](/docs/rest-api/api-reference/connections/create-connection) with the returned `id` as `package_id` in the config.

> NOTE: Each package can only be associated with one connection at a time.",,,,,,
POST /v1/destinations/{destinationId}/certificates,Approve a Certificate for the Destination,452,"Approves a certificate, so Fivetran trusts this certificate for a destination database connection. 
The destination connection setup tests will fail if a non-approved certificate is provided.

> NOTE: This is only required for destination connections based on the following databases: 
>  - [MySQL](https://fivetran.com/docs/destinations/mysql#supportedimplementations)
>  - [PostgreSQL](https://fivetran.com/docs/destinations/postgresql#supportedimplementations)
>  - [SQLServer](https://fivetran.com/docs/destinations/sql-server#supportedimplementations)",,,,,,
POST /v1/connections/{connectionId}/certificates,Approve a Certificate for the Connection,431,"Approves a certificate, so Fivetran trusts this certificate for a source database connection. 
The connection setup tests will fail if a non-approved certificate is provided.

> NOTE: This is only required for source connections based on the following databases: 
>  - [MySQL](https://fivetran.com/docs/connectors/databases/mysql#supportedservices)
>  - [PostgreSQL](https://fivetran.com/docs/connectors/databases/postgresql#supportedservices)
>  - [SQLServer](https://fivetran.com/docs/connectors/databases/sql-server#supportedservices)",,,,,,
GET /v1/metadata/connector-types,Retrieve Source Metadata,376,"Returns all available source types within your Fivetran account. This endpoint makes it easier to display Fivetran connectors within your application because it provides metadata including the proper source name ('Facebook Ads' instead of 'facebook_ads'), the source icon, information about the Hybrid deployment support, and links to Fivetran resources. As we update source names and icons, that metadata will automatically update within this endpoint",,,,,,
